Points: 33
Width: 0.0442424
Duration: 6.93351e+11
Width: 0
Duration: 3.63903
Centroid: 0 0

Points: 25
Width: 0.0338001
Duration: 188.437
Centroid: 0.9344 0.7563
0 0.638313 0.832099
0.0309468 0.693786 0.887573
0.0520493 0.693786 0.906064
0.0734251 0.656804 0.924554
0.113446 0.638313 0.924554
0.155564 0.545858 0.943046
0.199953 0.471893 0.943046
0.245406 0.379438 0.869082
0.289996 0.305473 0.776626
0.332804 0.286983 0.684171
0.378514 0.286983 0.628697
0.422369 0.323965 0.573225
0.46674 0.434911 0.517751
0.509749 0.564349 0.462277
0.552675 0.675296 0.406804
0.598564 0.712278 0.351332
0.643024 0.76775 0.277367
0.686771 0.76775 0.16642
0.731351 0.730768 0.129438
0.774771 0.638313 0.036983
0.81951 0.471893 0
0.866343 0.305473 0
0.909466 0.194527 0.0739643
0.95394 0.157545 0.0924558
1 0.157545 0.0924558

Points: 21
Width: 0.0340476
Duration: 154.759
Centroid: 0.0472024 0.899167
0 0.320804 0.420453
0.0250099 0.320804 0.38374
0.0506141 0.320804 0.38374
0.0894906 0.320804 0.38374
0.137355 0.339161 0.38374
0.192321 0.375874 0.402096
0.246382 0.467657 0.512236
0.297426 0.577797 0.659089
0.352683 0.632867 0.805943
0.408153 0.651224 0.916083
0.461193 0.596154 0.934439
0.515468 0.559441 0.934439
0.567325 0.394231 0.76923
0.624 0.357517 0.659089
0.676663 0.302448 0.438809
0.728602 0.320804 0.2736
0.782805 0.375874 0.236887
0.8376 0.522727 0.200173
0.891932 0.743007 0.21853
0.944356 1 0.291956
1 1 0.291956

Points: 17
Width: 0.0300735
Duration: 121.174
Centroid: 0.192426 0.902574
0 0.272616 0.685819
0.0315703 0.272616 0.561125
0.0643991 0.272616 0.498778
0.11481 0.272616 0.415648
0.173119 0.272616 0.353301
0.244978 0.272616 0.290953
0.314172 0.272616 0.249389
0.379558 0.293398 0.249389
0.450472 0.314181 0.415648
0.521279 0.39731 0.665037
0.589367 0.542787 0.831296
0.658149 0.605134 0.852078
0.726171 0.729829 0.810513
0.79522 0.812958 0.644254
0.864009 0.896088 0.43643
0.930134 1 0.270171
1 1 0.270171

Points: 26
Width: 0.040048
Duration: 234.53
Centroid: 0.31 0.924952
0 0.437575 0.953182
0.0250374 0.453181 1
0.0418349 0.453181 1
0.0679936 0.453181 1
0.0847357 0.468787 0.968787
0.113276 0.468787 0.890757
0.148843 0.468787 0.797119
0.184887 0.468787 0.578631
0.220753 0.484393 0.297718
0.253806 0.5 0.219687
0.289874 0.562425 0.110443
0.324731 0.62485 0.0636239
0.360748 0.671668 0.0636239
0.397206 0.765306 0.0948364
0.432679 0.765306 0.0948364
0.707725 0.312724 0.484993
0.724092 0.250299 0.438175
0.750599 0.250299 0.422568
0.766812 0.250299 0.406962
0.788229 0.281512 0.391356
0.823395 0.32833 0.391356
0.860348 0.390756 0.391356
0.895685 0.62485 0.453781
0.929559 0.702881 0.484993
0.964802 0.780913 0.5006
1 0.780913 0.5006

Points: 21
Width: 0.0249406
Duration: 152.709
Centroid: 0.43381 0.893809
0 0.29833 0.548929
0.0377318 0.29833 0.523869
0.0641679 0.29833 0.523869
0.103956 0.29833 0.523869
0.129026 0.348449 0.523869
0.178827 0.398568 0.523869
0.236037 0.473747 0.523869
0.288149 0.624104 0.699286
0.345739 0.674223 0.849643
0.400147 0.674223 0.924822
0.456348 0.599044 1
0.5072 0.448687 0.974941
0.563051 0.348449 0.874703
0.616931 0.223151 0.548929
0.671601 0.198092 0.273274
0.725527 0.32339 0.0978565
0.781355 0.548925 0.0727976
0.835815 0.649163 0.0727976
0.891981 0.874699 0.122917
0.947302 0.949878 0.147977
1 0.949878 0.147977

Points: 20
Width: 0.0235625
Duration: 147.859
Centroid: 0.5615 0.892687
0 0.176392 0.681698
0.0251185 0.176392 0.602122
0.053223 0.176392 0.522547
0.0957907 0.176392 0.442971
0.155368 0.176392 0.363396
0.209991 0.202918 0.310345
0.266585 0.255968 0.177719
0.320846 0.282493 0.177719
0.375608 0.282493 0.230769
0.431746 0.335543 0.442971
0.488388 0.415119 0.761273
0.546392 0.52122 0.973475
0.605354 0.57427 1
0.661583 0.706897 0.893899
0.715868 0.759947 0.787799
0.77116 0.866048 0.575597
0.825865 0.945623 0.363396
0.884329 0.972149 0.283819
0.941556 0.998673 0.204243
1 0.998673 0.204243

Points: 14
Width: 0.0245536
Duration: 99.7855
Centroid: 0.685268 0.899554
0 0.621818 0.916363
0.0987118 0.570909 0.941817
0.138883 0.494545 0.941817
0.178383 0.443636 0.941817
0.247125 0.392727 0.941817
0.336121 0.316363 0.865454
0.4174 0.24 0.763636
0.501857 0.163636 0.356363
0.581302 0.24 0.127273
0.669095 0.443636 0.0254551
0.749578 0.545454 0
0.833959 0.774545 0.0254551
0.916336 0.876363 0.0763629
1 0.876363 0.0763629

Points: 20
Width: 0.028625
Duration: 147.442
Centroid: 0.813875 0.893062
0 0.257641 0.599347
0.0265428 0.30131 0.512011
0.0669823 0.30131 0.490176
