Points: 26
Width: 0.133269
Duration: 308.034
0.537203 0.455337 0.685186
0.57192 0.509803 0.587146
0.607455 0.53159 0.554466
0.645252 0.586056 0.53268
0.679151 0.662309 0.576253
0.713939 0.771241 0.706972
0.750437 0.825708 0.772331
0.787175 0.912854 0.837691
0.822344 0.945534 0.815904
0.859489 0.96732 0.674292
0.894698 0.978213 0.489107
0.929614 0.978213 0.401961
0.966682 0.989107 0.271241
1 1 0.205882

Points: 0
Width: 2.76621e+19
Duration: 4.59163e-41
Centroid: 0 0

Points: 26
Width: 0.0553846
Duration: 194.607
Centroid: 0.511667 0.576282
0 0.680556 0.563658
0.0199119 0.680556 0.608796
0.040426 0.650463 0.653935
0.0710241 0.62037 0.699074
0.102924 0.605324 0.759259
0.143857 0.545139 0.87963
0.185234 0.469907 0.969907
0.229238 0.424769 1
0.273139 0.319444 0.984954
0.31476 0.184028 0.864583
0.358237 0.123842 0.744213
0.402072 0.0335647 0.458333
0.444972 0.0335647 0.187499
0.487012 0.153935 0.0370362
0.528469 0.319444 0.0219899
0.572408 0.394676 0.0520825
0.615037 0.530093 0.217592
0.657448 0.62037 0.42824
0.699281 0.635417 0.563658
0.744374 0.635417 0.59375
0.787043 0.635417 0.548611
0.829323 0.635417 0.413194
0.873684 0.695602 0.277777
0.914441 0.770834 0.187499
0.957499 0.78588 0.157407
1 0.815973 0.127314

Points: 0
Width: 2.76621e+19
Duration: 4.59163e-41
Centroid: 0 0

Points: 28
Width: 0.149405
Duration: 207.73
Centroid: 0.485774 0.627262
0 0.402589 0.944223
0.0186305 0.402589 0.983267
0.0477068 0.402589 0.994422
0.0668262 0.402589 1
0.0861148 0.397012 1
0.115497 0.397012 0.988845
0.154253 0.397012 0.910757
0.19543 0.397012 0.843825
0.23663 0.413745 0.659761
0.276152 0.419322 0.470119
0.316793 0.419322 0.386454
0.357698 0.419322 0.258167
0.397709 0.4249 0.191235
0.437024 0.430478 0.180079
0.478511 0.452789 0.213545
0.517295 0.469522 0.258167
0.558209 0.519721 0.341833
0.596739 0.575498 0.403187
0.635777 0.636852 0.41992
0.677951 0.659163 0.414343
0.71776 0.698207 0.375299
0.757663 0.71494 0.325099
0.799399 0.703785 0.280478
0.837079 0.659163 0.241434
0.880451 0.625697 0.224701
0.920575 0.558765 0.219123
0.9599 0.508566 0.230279
1 0.491832 0.241434

Points: 11
Width: 0.104394
Duration: 73.4629
Centroid: 0.512424 0.647727
0 0.480406 0.949927
0.134967 0.480406 0.925979
0.189642 0.480406 0.870101
0.271302 0.480406 0.790276
0.324183 0.488389 0.694484
0.432962 0.496372 0.582728
0.544612 0.504354 0.46299
0.655731 0.512337 0.159652
0.773536 0.520319 0.0478957
0.887698 0.528302 0.0159651
1 0.528302 0

Points: 26
Width: 0.0558975
Duration: 191.733
Centroid: 0.507564 0.577949
0 0.655963 0.59289
0.0203581 0.670871 0.652523
0.0421728 0.655963 0.697248
0.0727481 0.626146 0.741972
