Points: 24
Width: 0.150972
Duration: 178.714
0.338012 0.289351 0.666666
0.384615 0.224537 0.564815
0.430308 0.224537 0.490741
0.479372 0.298611 0.453704
0.528116 0.363426 0.444445
0.573547 0.502314 0.435185
0.620169 0.641203 0.398148
0.668693 0.6875 0.361111
0.71672 0.733796 0.268519
0.764234 0.696759 0.157408
0.813209 0.594907 0.0648147
0.859489 0.456018 0.00925925
0.906981 0.391203 0
0.95293 0.280092 0.0277777
1 0.233796 0.0925925

Points: 21
Width: 0.0673016
Duration: 149.29
Centroid: 0.512222 0.585635
0 0.35967 0.59434
0.0390782 0.310142 0.569575
0.0659763 0.310142 0.520047
0.0930674 0.322524 0.507665
0.133264 0.35967 0.482901
0.160535 0.409198 0.470519
0.218423 0.471108 0.470519
0.272059 0.632075 0.520047
0.326506 0.768278 0.631486
0.383426 0.817806 0.693396
0.440215 0.84257 0.829599
0.49652 0.768278 0.928655
0.55397 0.632075 0.953419
0.608548 0.471108 0.841981
0.664169 0.396816 0.730542
0.717942 0.285377 0.458137
0.773793 0.248231 0.198113
0.831102 0.322524 0.0495282
0.884741 0.471108 0
0.941592 0.557783 0
1 0.743514 0.0495282

Points: 15
Width: 0.139889
Duration: 102.767
Centroid: 0.557556 0.673222
0 0.478952 0.923352
0.0573632 0.484909 0.94718
0.0962626 0.478952 0.94718
0.134891 0.478952 0.929309
0.193447 0.478952 0.887609
0.270348 0.478952 0.822081
0.346293 0.478952 0.744638
0.42843 0.484909 0.488483
0.506937 0.484909 0.333598
0.592248 0.484909 0.262113
0.673311 0.490866 0.137014
0.753918 0.508737 0.0595712
0.835014 0.538523 0.0119142
0.917706 0.562351 0.0059571
1 0.586179 0

Points: 32
Width: 0.146875
Duration: 289.18
Centroid: 0.529375 0.678542
0 0.660993 0.714894
0.0134776 0.683688 0.748936
0.0272119 0.683688 0.771631
0.0483486 0.683688 0.794326
0.0617858 0.683688 0.817021
0.0762394 0.678014 0.839716
0.105369 0.672341 0.862411
0.135438 0.655319 0.89078
0.163758 0.598582 0.930496
