Points: 32
Width: 0.299635
Duration: 517.669
0.453416 0.47006 0.859075
0.472552 0.491947 0.787941
0.492053 0.508363 0.711336
0.511153 0.519307 0.612843
0.528806 0.524778 0.547182
0.547494 0.53025 0.497935
0.566235 0.53025 0.476048
0.585198 0.53025 0.465104
0.604356 0.535722 0.465104
0.622659 0.546666 0.492463
0.642039 0.574025 0.563597
0.660552 0.595912 0.629259
0.679464 0.634215 0.705864
0.698622 0.672517 0.760582
0.717523 0.705348 0.787941
0.736064 0.738179 0.809829
0.755501 0.760066 0.820772
0.774116 0.787425 0.820772
0.792917 0.803841 0.820772
0.811876 0.842143 0.776998
0.83034 0.869503 0.722279
0.849446 0.896862 0.634731
0.868847 0.913277 0.558125
0.887264 0.929693 0.448689
0.906025 0.935164 0.355668
0.925069 0.935164 0.284534
0.944325 0.935164 0.246232
0.962291 0.935164 0.202457
0.981043 0.940636 0.18057
1 0.940636 0.169626

Points: 0
Width: 6.20661e-36
Duration: 1.4013e-45
Centroid: 0 0

Points: 45
Width: 0.105852
Duration: 415.743
Centroid: 0.610852 0.477519
0 0.621937 0.7479
0.0153951 0.621937 0.755773
0.0362984 0.621937 0.77939
0.0575189 0.606192 0.803008
0.078831 0.582574 0.834499
0.099685 0.535339 0.858117
0.119886 0.48023 0.873862
0.139645 0.417249 0.873862
0.160638 0.314905 0.873862
0.181267 0.244051 0.873862
0.201782 0.14958 0.842372
0.221972 0.0787262 0.763645
0.242403 0.0472357 0.684919
0.262919 0.0157452 0.582575
0.283296 0 0.480231
0.30368 0 0.377887
0.324229 0 0.291288
0.345306 0.00787262 0.212562
0.365455 0.0472357 0.141708
0.386859 0.0787262 0.110217
0.407403 0.133835 0.102345
0.428114 0.212561 0.102345
0.448975 0.307032 0.141708
0.470479 0.440867 0.244052
0.490528 0.551084 0.354269
0.511812 0.62981 0.440868
0.533178 0.692791 0.527467
0.553607 0.724282 0.56683
0.57432 0.740027 0.606193
0.595122 0.755772 0.629811
0.615166 0.755772 0.661301
0.636288 0.755772 0.677046
0.65651 0.755772 0.677046
0.771731 0.755772 0.661301
0.793036 0.755772 0.614065
0.813613 0.755772 0.543212
0.834222 0.755772 0.440868
0.855217 0.755772 0.354269
0.87645 0.763645 0.26767
0.896479 0.77939 0.228307
0.91777 0.803008 0.204689
0.938272 0.826626 0.188944
0.958954 0.850244 0.173199
0.979353 0.881734 0.165326
1 0.889607 0.165326

Points: 0
Width: 6.20661e-36
Duration: 1.4013e-45
Centroid: 0 0

Points: 42
Width: 0.284603
Duration: 375.615
Centroid: 0.511865 0.55873
0 0.408882 1
0.0634948 0.408882 0.997072
0.0871747 0.408882 0.970719
0.109851 0.408882 0.926799
0.132969 0.408882 0.865309
0.156181 0.408882 0.77454
0.179586 0.408882 0.680842
0.201711 0.408882 0.575432
0.225427 0.408882 0.511015
0.248291 0.408882 0.440742
0.271248 0.408882 0.390965
0.294226 0.408882 0.361684
0.317224 0.408882 0.341188
0.339615 0.408882 0.326548
0.363435 0.408882 0.326548
0.404326 0.408882 0.329476
0.427887 0.408882 0.358756
0.450604 0.423522 0.396821
0.473697 0.446946 0.449526
0.496815 0.482083 0.513943
0.520412 0.526004 0.56372
0.542755 0.555284 0.587144
0.566342 0.584565 0.595929
0.589106 0.607989 0.598857
0.611325 0.628486 0.598857
0.63513 0.643126 0.590073
0.657983 0.654838 0.569576
0.680535 0.663622 0.546152
0.701854 0.66655 0.513943
0.72428 0.66655 0.47295
0.746858 0.66655 0.431958
0.769488 0.65191 0.382181
0.79207 0.634342 0.358756
0.814903 0.613845 0.326548
0.838005 0.587493 0.303123
0.861524 0.558213 0.285555
0.885074 0.523076 0.279699
0.907314 0.493795 0.276771
0.930089 0.464515 0.276771
0.953207 0.446946 0.285555
0.976232 0.432306 0.303123
1 0.42645 0.314836

Points: 19
Width: 0.252982
Duration: 171.271
Centroid: 0.48886 0.517017
0 0.485784 1
0.139752 0.485784 0.996706
0.191662 0.485784 0.960472
0.24129 0.485784 0.901179
0.291843 0.479196 0.822122
0.341996 0.479196 0.716713
0.393997 0.479196 0.617892
0.442873 0.479196 0.509189
0.494452 0.479196 0.433426
0.544366 0.479196 0.360957
0.594576 0.48249 0.301665
0.645505 0.489078 0.268724
0.694416 0.49896 0.24896
0.746154 0.508842 0.23249
0.797915 0.522018 0.225902
0.849209 0.5319 0.225902
0.899317 0.541782 0.225902
0.948239 0.551664 0.225902
1 0.554958 0.225902

Points: 42
Width: 0.119524
Duration: 450.863
Centroid: 0.53119 0.475675
0 0.59263 0.90156
0.0706457 0.578685 0.90156
0.0903215 0.515936 0.908533
0.10927 0.460159 0.908533
0.128326 0.390438 0.915505
0.147629 0.327689 0.915505
0.167197 0.23008 0.915505
0.185807 0.167331 0.908533
0.205318 0.104582 0.831839
0.22421 0.0488049 0.692397
0.243262 0.0139442 0.532039
0.262439 0.0069721 0.427457
0.281994 0 0.288015
0.301306 0 0.176461
0.319288 0.0348605 0.120684
0.33821 0.104582 0.0858232
0.356954 0.216136 0.0649069
0.375863 0.313745 0.0649069
0.394867 0.411355 0.10674
0.415215 0.501992 0.190405
0.433747 0.585657 0.294987
0.453514 0.634462 0.392596
0.472072 0.669323 0.490206
0.490639 0.697211 0.594787
0.509925 0.704183 0.671481
0.529076 0.704183 0.727258
0.547604 0.704183 0.762118
0.567232 0.704183 0.790007
0.586826 0.704183 0.796979
0.682783 0.704183 0.790007
0.702424 0.704183 0.73423
0.721351 0.704183 0.63662
0.739943 0.704183 0.525066
0.759511 0.711155 0.420485
0.777709 0.7251 0.315903
0.797325 0.746016 0.246182
0.815965 0.766932 0.197377
0.835576 0.787849 0.169488
0.854892 0.808765 0.155544
0.873879 0.829681 0.148572
0.892879 0.843626 0.1416
1 0.836653 0.1416

Points: 23
Width: 0.141957
Duration: 204.604
Centroid: 0.524348 0.498623
0 0.672537 0.892292
0.11645 0.666667 0.892292
0.159722 0.643185 0.898162
0.202297 0.602093 0.909903
0.244089 0.55513 0.915773
0.285394 0.496427 0.915773
0.327673 0.455334 0.915773
0.366973 0.408372 0.909903
0.408555 0.337927 0.874681
0.451846 0.302705 0.810107
0.493246 0.267483 0.704441
0.534437 0.255743 0.616386
0.576296 0.244002 0.446146
0.619224 0.244002 0.322869
0.660968 0.273354 0.217203
0.702282 0.337927 0.123277
0.745812 0.425983 0.0645737
0.787489 0.514038 0.0234813
0.829529 0.619704 0.00587034
0.872658 0.713629 0
0.915022 0.789944 0
0.957024 0.825166 0.0117407
1 0.848647 0.0293517

Points: 32
Width: 0.274948
Duration: 580.766
Centroid: 0.546719 0.505052
0 0.396855 1
0.0273144 0.396855 0.996969
0.0428045 0.396855 0.969691
0.0576388 0.396855 0.93029
0.0720627 0.396855 0.872703
0.0869172 0.396855 0.772684
0.101963 0.396855 0.62114
0.116535 0.396855 0.508998
0.131521 0.396855 0.363516
0.146123 0.396855 0.23925
0.160873 0.396855 0.17257
0.175731 0.396855 0.111953
0.190999 0.396855 0.0937677
0.626513 0.615079 0.605986
0.626792 0.612048 0.605986
0.641563 0.605986 0.596893
0.656236 0.58477 0.581739
0.67105 0.554461 0.557492
0.68614 0.51809 0.524152
0.701098 0.496874 0.502936
0.71604 0.475658 0.490813
0.731493 0.460504 0.478689
0.746408 0.454442 0.475658
0.881373 0.457473 0.472627
0.896584 0.475658 0.460504
0.911297 0.499905 0.439288
0.926225 0.533245 0.405948
0.941231 0.593862 0.3423
0.956039 0.660542 0.27562
0.970247 0.712067 0.221065
0.984782 0.751468 0.17257
1 0.778746 0.1362

Points: 0
Width: 6.20661e-36
Duration: 1.4013e-45
Centroid: 0 0

Points: 41
Width: 0.0986585
Duration: 392.219
Centroid: 0.491342 0.581626
0 0.104655 0.795839
0.101571 0.104655 0.787392
0.123511 0.104655 0.719819
0.145297 0.104655 0.618459
0.167193 0.104655 0.500206
0.189283 0.104655 0.407293
0.211691 0.104655 0.331273
0.233537 0.104655 0.297486
0.25613 0.104655 0.280593
0.277797 0.129995 0.280593
0.299717 0.163782 0.280593
0.321767 0.197569 0.280593
0.344171 0.239802 0.297486
0.366325 0.282035 0.348166
0.388853 0.324268 0.441079
0.410625 0.358055 0.550886
0.432655 0.374948 0.610013
0.45456 0.400288 0.652246
0.477248 0.400288 0.669139
0.499218 0.408735 0.677586
0.540151 0.408735 0.669139
0.562754 0.425628 0.618459
0.584475 0.459415 0.533993
0.606585 0.510095 0.424186
0.629392 0.552328 0.33972
0.651089 0.594561 0.272146
0.672183 0.628348 0.229913
0.694028 0.670581 0.221467
0.715575 0.704368 0.21302
0.737297 0.755047 0.23836
0.759332 0.814174 0.31438
0.78063 0.864854 0.398846
0.802411 0.92398 0.500206
0.823764 0.97466 0.601566
0.8456 0.991553 0.660692
0.868019 1 0.711372
0.88965 1 0.728265
0.912363 1 0.736712
0.934836 1 0.745159
0.978548 1 0.753605
1 1 0.762052

Points: 17
Width: 0.223922
Duration: 377.002
Centroid: 0.556667 0.497745
0 0.45162 0.869746
0.0309442 0.45162 0.866024
0.0546872 0.45162 0.825087
0.0772542 0.45162 0.765543
0.100034 0.45162 0.672504
0.123139 0.45162 0.560858
0.14624 0.45162 0.445491
0.169304 0.45162 0.374781
0.192545 0.45162 0.311515
0.215112 0.455342 0.2743
0.237964 0.477671 0.255692
0.261034 0.507443 0.244527
0.284202 0.563266 0.244527
0.307162 0.615368 0.244527
0.329517 0.656305 0.259413
0.351882 0.689799 0.285464
1 0.470228 1

Points: 49
Width: 0.191667
Duration: 483.119
Centroid: 0.619422 0.666667
0 0.410204 0.452174
0.0988005 0.405856 0.452174
0.117248 0.397161 0.452174
0.134918 0.384117 0.452174
0.152702 0.366726 0.443478
0.17043 0.331943 0.386956
0.188351 0.323248 0.352174
0.206499 0.3189 0.308695
0.223252 0.3189 0.256521
0.241517 0.3189 0.217391
0.259144 0.3189 0.182608
0.276346 0.327595 0.160869
0.294316 0.340639 0.152174
0.312055 0.362378 0.13913
0.32956 0.392813 0.134782
0.347045 0.414552 0.134782
0.36535 0.45803 0.169565
0.382682 0.510204 0.247826
0.40047 0.549335 0.330435
0.418444 0.592813 0.443478
0.436082 0.631943 0.556522
0.454271 0.644987 0.643478
0.471731 0.653683 0.734782
0.490016 0.653683 0.804348
0.507736 0.653683 0.860869
0.525851 0.644987 0.913043
0.543397 0.631943 0.947826
0.5615 0.623248 0.973913
0.579094 0.6189 0.991304
0.597291 0.610204 1
0.678594 0.605856 1
0.696904 0.597161 0.995652
0.714684 0.579769 0.969565
0.732815 0.549335 0.934783
0.75051 0.5189 0.882609
0.768771 0.497161 0.834783
0.786091 0.479769 0.773913
0.804348 0.471074 0.704348
0.822047 0.466726 0.634783
0.839847 0.466726 0.565217
0.857805 0.466726 0.469565
0.876013 0.484117 0.386956
0.893914 0.5189 0.291304
0.911177 0.549335 0.230434
0.928848 0.579769 0.156521
0.947113 0.592813 0.126087
0.964537 0.610204 0.0956518
0.982358 0.623248 0.0826083
1 0.631943 0.0695649

Points: 46
Width: 0.115906
Duration: 443.75
Centroid: 0.573696 0.629239
0 0.275555 0.740544
0.00685739 0.246796 0.740544
0.16162 0.246796 0.726165
0.181673 0.246796 0.704596
0.20081 0.246796 0.661457
0.219903 0.246796 0.5608
0.239617 0.246796 0.488903
0.259313 0.246796 0.445765
0.278622 0.246796 0.323539
0.298578 0.246796 0.258831
0.317768 0.275555 0.194123
0.336884 0.304314 0.136605
0.356303 0.340263 0.0934666
0.376166 0.383401 0.0575179
0.395713 0.448109 0.028759
0.4157 0.505627 0.00718974
0.434982 0.563145 0
0.454085 0.627853 0
